id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
29,Paroxetine,normal,14.36174889972708,646.2463602938275,0.028861,-0.022339,-0.011672,53.613,84.037,2.38,20.626,51.816,93.046,3.8463
30,Paroxetine,normal,9.854453949672516,964.5818242879424,0.040799,-0.012294,-0.007893,29.506,56.83,17.935,57.623,125.471,215.16,3.9033
31,Paroxetine,normal,13.201542941680357,596.5357988482223,0.031398,-0.022276,-0.011655,53.461,83.913,2.437,20.759,52.08,93.484,4.1791
32,Paroxetine,normal,24.724011650013,731.3007436786843,0.016739,-0.028832,-0.013045,69.197,93.921,NA,9.673,30.175,57.278,2.47
33,Paroxetine,normal,17.758052828578766,788.7937717827341,0.023341,-0.022534,-0.011724,54.082,84.416,2.207,20.218,51.006,91.707,3.1228
34,Paroxetine,normal,49.4599478656339,853.6472523761312,0.008335,-0.036298,-0.013778,87.116,99.202,NA,0.597,12.56,28.375,1.3258
35,Paroxetine,normal,30.42763110038804,606.6415445025158,0.013564,-0.034537,-0.013675,82.888,98.459,NA,2.624,16.443,34.712,2.1245
36,Paroxetine,normal,28.92225944772065,270.40335271857435,0.014171,-0.040816,-0.013887,97.958,99.988,NA,NA,0.583,9.151,2.3455
37,Paroxetine,normal,12.448992053253434,244.7180132601096,0.033149,-0.034719,-0.013687,83.325,98.549,NA,2.414,16.039,34.052,5.2007
38,Paroxetine,normal,10.18942808957173,492.8082976341607,0.040675,-0.021262,-0.011368,51.028,81.848,3.385,22.995,56.519,100.835,5.3001
39,Paroxetine,normal,31.933442924880872,435.4374117340397,0.012882,-0.038627,-0.013859,92.705,99.784,NA,NA,7.207,19.701,2.0897
40,Paroxetine,normal,9.979656057521128,445.46579424098894,0.041534,-0.02246,-0.011705,53.904,84.273,2.273,20.372,51.312,92.213,5.5486
41,Paroxetine,normal,10.299981178837584,728.6795249249867,0.039973,-0.016031,-0.009553,38.475,68.783,9.989,38.675,87.712,152.535,4.5001
42,Paroxetine,normal,20.11047106530808,873.4014563349584,0.020611,-0.022875,-0.011815,54.901,85.066,1.911,19.52,49.624,89.418,2.7757
43,Paroxetine,normal,36.98585464618902,541.9012366276664,0.01113,-0.037995,-0.013843,91.189,99.667,NA,NA,8.723,22.148,1.7958
44,Paroxetine,normal,12.016029457034826,714.7241091955632,0.034427,-0.018312,-0.010415,43.95,74.99,6.677,30.795,72.023,126.525,4.1675
45,Paroxetine,normal,22.804755892936747,733.286504270208,0.018156,-0.027535,-0.01283,66.084,92.377,NA,11.52,33.809,63.272,2.6348
46,Paroxetine,normal,8.59090231140654,420.299235151577,0.048242,-0.021092,-0.011318,50.621,81.488,3.551,23.389,57.3,102.128,6.2626
47,Paroxetine,poor,7.222435824806067,495.23935539165626,0.057071,-0.016428,-0.009711,39.427,69.921,9.351,37.153,84.682,147.512,6.5144
48,Paroxetine,normal,12.350279941228576,575.6230445963834,0.033561,-0.021811,-0.011526,52.347,82.985,2.862,21.76,54.066,96.773,4.4247
49,Paroxetine,normal,17.71934936388713,752.3009680439358,0.023391,-0.023221,-0.011904,55.73,85.707,1.619,18.833,48.262,87.164,3.1708
50,Paroxetine,rapid,43.85896652295559,738.0887366948687,0.009397,-0.036582,-0.013791,87.798,99.296,NA,0.267,11.93,27.351,1.4984
51,Paroxetine,normal,10.429201555312376,445.9675862193478,0.039743,-0.023112,-0.011876,55.468,85.506,1.71,19.048,48.689,87.87,5.3763
52,Paroxetine,normal,33.72980674268933,357.63711668879824,0.012166,-0.040287,-0.013884,96.688,99.964,NA,NA,2.569,12.286,2.0028
53,Paroxetine,normal,9.578816249890282,414.2669129650889,0.043272,-0.022939,-0.011831,55.054,85.186,1.856,19.392,49.369,88.997,5.8346
54,Paroxetine,normal,28.735587572845414,1014.73839156846,0.014415,-0.026072,-0.012554,62.574,90.387,NA,13.773,38.25,70.606,2.0491
55,Paroxetine,normal,25.219336821823116,378.8575754295644,0.016326,-0.037759,-0.013836,90.621,99.616,NA,NA,9.273,23.037,2.6291
56,Paroxetine,normal,15.933412217039232,761.9963333506234,0.026013,-0.021428,-0.011416,51.428,82.197,3.224,22.615,55.764,99.584,3.4018
57,Paroxetine,normal,11.14996717969776,653.615688718563,0.03711,-0.018513,-0.010486,44.43,75.497,6.423,30.192,70.824,124.537,4.5177
58,Paroxetine,rapid,55.536694997895886,539.9902860368801,0.007383,-0.04067,-0.013887,97.609,99.983,NA,NA,1.182,10.091,1.2201
59,Paroxetine,normal,8.970645811303653,424.6555048014146,0.046204,-0.02158,-0.01146,51.791,82.511,3.079,22.274,55.086,98.461,6.0619
60,Paroxetine,rapid,20.54953465377476,363.3494133686148,0.020065,-0.036019,-0.013764,86.447,99.102,NA,0.919,13.176,29.377,3.184
61,Paroxetine,normal,16.64493403396761,625.3379329799966,0.024893,-0.025107,-0.012351000000000001,60.257,88.924,0.142,15.375,41.416,75.841,3.486
62,Paroxetine,normal,15.695024674873334,509.20270104608073,0.026382,-0.027396,-0.012805,65.75,92.199,NA,11.727,34.215,63.942,3.8213
63,Paroxetine,rapid,14.858362374228694,1051.2335170452031,0.027709,-0.01603,-0.009553,38.473,68.781,9.991,38.678,87.718,152.546,3.1194
64,Paroxetine,normal,22.497117727882877,527.6663484645726,0.018368,-0.032309,-0.013486,77.541,97.099,NA,5.23,21.486,42.978,2.8168
65,Paroxetine,rapid,16.57203561827978,573.4165514938591,0.024994,-0.02639,-0.012617,63.336,90.843,NA,13.266,37.25,68.955,3.5694
66,Paroxetine,normal,13.655554725035849,561.5866259012789,0.030351,-0.023709,-0.012026,56.901,86.585,1.218,17.893,46.399,84.081,4.1509
67,Paroxetine,normal,6.700202795366036,666.027607561571,0.059898,-0.012134,-0.007815,29.123,56.268,18.38,58.685,127.587,218.67,5.6816
68,Paroxetine,normal,10.362360522927991,534.8954739720554,0.039985,-0.02031,-0.01108,48.743,79.774,4.353,25.282,61.062,108.36,5.0983
69,Paroxetine,rapid,25.489530577462112,365.224281480297,0.016146,-0.038199,-0.013848,91.678,99.708,NA,NA,8.242,21.371,2.6097
70,Paroxetine,normal,28.285389149708596,731.3516589875927,0.014619,-0.030879,-0.013327,74.11,95.955,NA,6.982,24.905,48.597,2.2087
71,Paroxetine,normal,9.815086817631816,469.6651603584231,0.042228,-0.02142,-0.011414,51.407,82.179,3.233,22.634,55.803,99.648,5.5213
72,Paroxetine,normal,10.70927347805528,513.4289423343284,0.038702,-0.021391,-0.011406,51.34,82.12,3.26,22.699,55.93,99.859,5.0572
73,Paroxetine,normal,9.913246213629964,627.8163113812474,0.041676,-0.017466,-0.010108,41.918,72.78,7.811,33.489,77.387,135.417,4.92
74,Paroxetine,normal,19.69828020249583,538.2593333061153,0.020999,-0.030047,-0.01322,72.112,95.186,NA,8.048,26.988,52.026,3.1435
75,Paroxetine,normal,14.080233164437804,595.3581726009837,0.029437,-0.023283,-0.01192,55.88,85.822,1.566,18.711,48.019,86.763,3.9949
76,Paroxetine,normal,17.489456215846843,777.1414327667387,0.0237,-0.022529,-0.011723,54.069,84.406,2.212,20.229,51.028,91.744,3.1704
77,Paroxetine,poor,2.752884074057315,1080.308465399635,0.086696,-0.003328,-0.002581,7.987,18.581,104.228,263.344,NA,NA,2.9754
78,Paroxetine,normal,3.6143914700071935,315.5495162844302,0.112491,-0.013529,-0.008477,32.47,61.031,14.841,50.239,110.753,190.749,11.4424
79,Paroxetine,normal,12.183036550481726,1649.1369568006637,0.031251,-0.009266,-0.006313,22.237,45.453,28.897,83.782,177.609,301.641,2.4578
80,Paroxetine,normal,17.1333624037596,869.0634910598089,0.024185,-0.020563,-0.011158,49.352,80.34,4.087,24.653,59.812,106.29,3.1022
81,Paroxetine,rapid,46.122451069968825,1226.042169285924,0.008967,-0.030464,-0.013275,73.113,95.581,NA,7.509,25.935,50.293,1.3486
82,Paroxetine,normal,39.18904170974308,306.2749250837661,0.010441,-0.04129,-0.013889,99.095,99.998,NA,NA,NA,5.229,1.7381
83,Paroxetine,normal,10.810671606561934,853.7999766010054,0.037878,-0.014685,-0.008991,35.243,64.736,12.403,44.425,99.169,171.535,4.0512
84,Paroxetine,normal,22.398235570434576,619.9908715885385,0.018469,-0.02985,-0.013193,71.64,94.993,NA,8.305,27.491,52.855,2.7586
85,Paroxetine,normal,14.23038451420762,787.3536249191852,0.029099,-0.019318,-0.01076,46.363,77.473,5.451,27.885,66.236,116.934,3.6201
86,Paroxetine,normal,16.79454003101874,352.97614107922925,0.024585,-0.033838,-0.013623,81.211,98.086,NA,3.429,17.997,37.256,3.8262
87,Paroxetine,normal,31.38936832537548,650.4814838306568,0.013152,-0.034027,-0.013638,81.666,98.191,NA,3.211,17.575,36.563,2.0505
88,Paroxetine,normal,23.49382432385213,1187.1292016661298,0.017638,-0.020619,-0.011175,49.486,80.463,4.029,24.517,59.541,105.841,2.2653
89,Paroxetine,normal,38.08395941052808,547.4610272444074,0.010807,-0.03817,-0.013848,91.607,99.702,NA,NA,8.312,21.482,1.7463
90,Paroxetine,rapid,32.76794990477999,850.1024691047074,0.012619,-0.030829,-0.013321,73.99,95.911,NA,7.046,25.028,48.8,1.9056
91,Paroxetine,normal,22.845577723831077,533.0635429142891,0.018087,-0.032383,-0.013493,77.719,97.152,NA,5.141,21.314,42.694,2.7758
92,Paroxetine,normal,11.287247599198563,612.3736715558076,0.036694,-0.019596,-0.010852,47.03,78.133,5.133,27.131,64.737,114.449,4.5975
93,Paroxetine,rapid,41.93051835826027,994.2601384569632,0.009856,-0.032152,-0.01347,77.164,96.984,NA,5.418,21.854,43.581,1.509
94,Paroxetine,normal,18.39609728817472,603.3179679001802,0.022509,-0.027227,-0.012775,65.345,91.981,NA,11.978,34.711,64.762,3.2529
95,Paroxetine,normal,31.19348096851344,442.83425507635445,0.013192,-0.038282,-0.013851,91.876,99.724,NA,NA,8.044,21.052,2.1338
96,Paroxetine,normal,22.794079265807618,577.9960730203082,0.018138,-0.031169,-0.013362,74.807,96.205,NA,6.62,24.197,47.431,2.7491
97,Paroxetine,normal,14.244739679268022,795.4131387880662,0.029067,-0.019189,-0.010717,46.053,77.163,5.602,28.243,66.947,118.112,3.6039
98,Paroxetine,normal,17.749952351150068,452.0416349147725,0.023293,-0.031105,-0.013354,74.652,96.151,NA,6.7,24.353,47.688,3.528
99,Paroxetine,normal,10.076307820284264,591.864605724222,0.041063,-0.018485,-0.010476,44.364,75.427,6.458,30.274,70.988,124.81,4.995
100,Paroxetine,normal,12.955067635215949,582.2224380955972,0.031995,-0.022358,-0.011677,53.658,84.073,2.364,20.586,51.737,92.917,4.2656
101,Paroxetine,normal,13.492714700125296,545.1323861259939,0.030716,-0.023982,-0.012092,57.556,87.062,0.999,17.382,45.386,82.406,4.2211
102,Paroxetine,normal,31.08643546355173,455.7090105514413,0.013242,-0.03799,-0.013843,91.177,99.666,NA,NA,8.735,22.167,2.1366
103,Paroxetine,normal,14.826829560909722,477.94335927987487,0.027926,-0.027496,-0.012823,65.991,92.328,NA,11.577,33.921,63.457,4.0504
104,Paroxetine,normal,71.84831798137257,496.170283140132,0.005688,-0.041472,-0.013889,99.533,100,NA,NA,NA,2.841,0.9497
105,Paroxetine,normal,15.900884571820905,1008.4951489457378,0.025982,-0.017446,-0.010101,41.871,72.728,7.838,33.554,77.516,135.631,3.0654
106,Paroxetine,normal,7.385738286097866,775.4866798807146,0.053961,-0.01158,-0.00754,27.792,54.287,20.016,62.589,135.368,231.577,4.9618
107,Paroxetine,normal,22.49668446426293,690.1283924204907,0.0184,-0.028267,-0.012955,67.841,93.274,NA,10.461,31.726,59.834,2.6959
108,Paroxetine,rapid,31.75158354758316,649.773928521752,0.013001,-0.034194,-0.01365,82.066,98.282,NA,3.017,17.203,35.953,2.0301
109,Paroxetine,normal,22.38470546535396,1516.476563075735,0.018422,-0.016583,-0.009772,39.8,70.359,9.109,36.577,83.535,145.611,2.1138
110,Paroxetine,normal,16.850299289521132,569.1894961287782,0.024578,-0.026766,-0.01269,64.238,91.364,NA,12.68,36.094,67.045,3.5291
111,Paroxetine,normal,32.523457058569974,567.4036212093596,0.012676,-0.036175,-0.013772,86.82,99.159,NA,0.74,12.833,28.818,2.0142
112,Paroxetine,normal,8.051295124118017,620.7474042122225,0.05093,-0.014972,-0.009114,35.933,65.624,11.853,43.113,96.554,167.2,5.5105
113,Paroxetine,normal,25.469985033699903,327.00627373993683,0.016142,-0.039102,-0.013869,93.845,99.854,NA,NA,6.004,17.771,2.6291
114,Paroxetine,normal,26.370080852968247,557.601954951582,0.015658,-0.033756,-0.013616,81.015,98.039,NA,3.524,18.182,37.556,2.4351
115,Paroxetine,normal,15.349371392004723,645.8932648742597,0.027003,-0.023357,-0.011938,56.057,85.956,1.505,18.567,47.734,86.291,3.6695
116,Paroxetine,normal,5.561221338150377,554.7681799966181,0.072135,-0.012098,-0.007797,29.035,56.14,18.483,58.931,128.077,219.483,6.8288
117,Paroxetine,rapid,33.39336092254387,664.5971854670377,0.012359,-0.034559,-0.013676,82.943,98.471,NA,2.598,16.393,34.629,1.9362
118,Paroxetine,normal,14.595583594727785,499.1180379722065,0.028377,-0.026574,-0.012653,63.778,91.1,NA,12.977,36.681,68.014,4.0633
119,Paroxetine,normal,6.490369341073522,843.3857697094497,0.059189,-0.00961,-0.006504,23.064,46.825,27.312,79.999,170.07,289.137,4.7797
120,Paroxetine,normal,16.1233223978931,592.2575949965004,0.025696,-0.025457,-0.012426,61.098,89.469,NA,14.782,40.243,73.901,3.6185
121,Paroxetine,normal,35.62876787517,486.5577323414109,0.011546,-0.038615,-0.013859,92.675,99.782,NA,NA,7.238,19.751,1.8728
122,Paroxetine,normal,29.669238640863902,805.9886780275182,0.013941,-0.030135,-0.013232,72.325,95.271,NA,7.932,26.763,51.655,2.0891
123,Paroxetine,rapid,13.395285353437531,598.4306282293427,0.030944,-0.022447,-0.011701,53.874,84.248,2.284,20.398,51.364,92.299,4.1327
124,Paroxetine,normal,15.842273931356848,1140.6113329533546,0.02597,-0.015811,-0.009464,37.947,68.141,10.357,39.549,89.455,155.426,2.9007
125,Paroxetine,normal,17.691413802767052,661.0846907778152,0.02342,-0.025191,-0.012369,60.458,89.056,0.081,15.232,41.133,75.373,3.2841
126,Paroxetine,rapid,25.747821990654092,907.9075257577168,0.016088,-0.026095,-0.012558,62.628,90.42,NA,13.736,38.177,70.487,2.2876
127,Paroxetine,normal,9.47778701680519,558.122877797386,0.043654,-0.01845,-0.010464,44.28,75.339,6.502,30.379,71.197,125.155,5.305
128,Paroxetine,normal,29.753976923419337,832.4905621555665,0.013904,-0.029686,-0.013171,71.247,94.828,NA,8.52,27.914,53.551,2.0728
129,Paroxetine,rapid,29.52315544929741,789.7209589642173,0.014009,-0.030369,-0.013263,72.886,95.493,NA,7.631,26.172,50.682,2.1048
130,Paroxetine,normal,9.486544283374664,672.0766918700701,0.043398,-0.016014,-0.009546,38.432,68.732,10.019,38.744,87.85,152.765,4.8826
131,Paroxetine,normal,15.651123702460977,647.7187624746014,0.026481,-0.023612,-0.012002,56.669,86.414,1.296,18.076,46.762,84.683,3.6154
132,Paroxetine,normal,31.304353220990375,287.03248537368694,0.01309,-0.040882,-0.013887,98.116,99.99,NA,NA,0.294,8.696,2.1682
133,Paroxetine,rapid,29.051775915809504,426.2158576679774,0.014169,-0.037983,-0.013842,91.159,99.665,NA,NA,8.752,22.194,2.2861
134,Paroxetine,rapid,68.71306229946376,496.2034929871048,0.00595,-0.041417,-0.013889,99.401,99.999,NA,NA,NA,3.676,0.9925
135,Paroxetine,normal,8.876552166193198,772.2879826912514,0.045817,-0.013568,-0.008494,32.563,61.158,14.753,50.029,110.335,190.055,4.6688
136,Paroxetine,normal,13.767922516125068,857.8920656799975,0.030019,-0.017683,-0.010188,42.439,73.357,7.51,32.776,75.966,133.061,3.5674
137,Paroxetine,normal,18.56690404354997,325.49577789052717,0.022205,-0.036119,-0.013769,86.686,99.139,NA,0.805,12.956,29.019,3.5267
138,Paroxetine,rapid,65.77738600672566,666.9178894567794,0.006236,-0.040496,-0.013885,97.19,99.975,NA,NA,1.842,11.132,1.0287
139,Paroxetine,normal,29.88248045908847,761.0980255789386,0.013836,-0.031104,-0.013354,74.649,96.149,NA,6.702,24.356,47.694,2.0955
140,Paroxetine,normal,20.764208950812566,453.4725777767584,0.01989,-0.033315,-0.01358,79.955,97.774,NA,4.039,19.177,39.188,3.0804
141,Paroxetine,normal,22.66670206407371,453.2371244506053,0.018209,-0.034498,-0.013672,82.796,98.44,NA,2.668,16.527,34.85,2.8511
142,Paroxetine,normal,21.097683711142594,407.24191191814384,0.019557,-0.034951,-0.013703,83.883,98.659,NA,2.148,15.527,33.215,3.0747
143,Paroxetine,normal,39.34629006414683,753.4223476829098,0.010486,-0.035052,-0.013709,84.126,98.706,NA,2.031,15.305,32.85,1.65
144,Paroxetine,normal,22.29143203426973,452.7961436522117,0.018517,-0.034293,-0.013658,82.302,98.334,NA,2.905,16.983,35.596,2.894
145,Paroxetine,normal,5.742291873756025,560.6466273181641,0.070036,-0.012321,-0.007906,29.569,56.923,17.863,57.45,125.125,214.587,6.7099
146,Paroxetine,normal,6.4448112078219415,983.3345641932748,0.057329,-0.008314,-0.005772,19.955,41.56,33.933,95.798,201.557,NA,4.1617
147,Paroxetine,normal,19.109272327295383,365.7513290136559,0.021591,-0.035058,-0.013709,84.139,98.708,NA,2.024,15.293,32.83,3.3976
148,Paroxetine,normal,34.75634623061223,875.9843925241389,0.011895,-0.03126,-0.013372,75.023,96.281,NA,6.507,23.977,47.071,1.8046
149,Paroxetine,normal,25.05632603361638,650.1754007683628,0.016503,-0.030826,-0.013321,73.982,95.908,NA,7.05,25.036,48.813,2.492
150,Paroxetine,normal,14.027382365898177,950.8467459986844,0.029396,-0.016576,-0.009769,39.782,70.338,9.12,36.605,83.59,145.701,3.3723
151,Paroxetine,normal,10.081279385318457,397.5299332216576,0.041107,-0.024356,-0.012181,58.455,87.701,0.707,16.696,44.028,80.16,5.6857
152,Paroxetine,rapid,58.97428033764911,511.1300254734776,0.006945,-0.041052,-0.013888,98.524,99.994,NA,NA,NA,7.419,1.1526
153,Paroxetine,normal,16.454327618915983,358.2458625619431,0.0251,-0.033357,-0.013583,80.057,97.8,NA,3.989,19.081,39.03,3.8887
154,Paroxetine,rapid,59.03961106679429,558.4441694458875,0.006943,-0.040774,-0.013887,97.858,99.987,NA,NA,0.76,9.426,1.1486
155,Paroxetine,normal,19.94413159035207,565.667325474195,0.020745,-0.029478,-0.013141,70.747,94.615,NA,8.798,28.456,54.445,3.0851
156,Paroxetine,normal,10.34325404880983,320.2303669674623,0.040022,-0.028124,-0.012931,67.499,93.104,NA,10.665,32.125,60.493,5.8532
157,Paroxetine,normal,11.80662147408396,761.1014927272681,0.034977,-0.017231,-0.010021,41.354,72.148,8.144,34.282,78.965,138.033,4.099
158,Paroxetine,normal,28.401014208272116,845.196782454509,0.014572,-0.028738,-0.01303,68.971,93.816,NA,9.803,30.43,57.699,2.1478
159,Paroxetine,normal,17.339817356025225,351.57773712331453,0.023805,-0.034316,-0.013659,82.36,98.347,NA,2.877,16.931,35.509,3.7212
160,Paroxetine,normal,18.37447835539857,392.0785733100678,0.022473,-0.033633,-0.013606,80.719,97.967,NA,3.668,18.458,38.01,3.4909
161,Paroxetine,poor,3.331975302472488,1047.464796506402,0.081782,-0.004164,-0.0031580000000000002,9.994,22.739,81.336,208.801,NA,NA,3.3998
162,Paroxetine,normal,35.14478237339898,706.375352584014,0.011744,-0.034431,-0.013667,82.635,98.406,NA,2.746,16.677,35.093,1.8378
163,Paroxetine,normal,13.424379076477535,535.5383142916864,0.030871,-0.024177,-0.012139,58.025,87.398,0.846,17.021,44.673,81.227,4.2569
164,Paroxetine,normal,17.28235354347522,557.1844869821266,0.023958,-0.027494,-0.012823,65.985,92.325,NA,11.581,33.928,63.469,3.4748
165,Paroxetine,normal,37.52105152931065,346.0410228303201,0.010922,-0.040863,-0.013887,98.07,99.989,NA,NA,0.38,8.831,1.8087
166,Paroxetine,normal,31.39271976921767,676.5134943419689,0.013155,-0.033498,-0.013595,80.395,97.886,NA,3.825,18.763,38.508,2.0408
167,Paroxetine,normal,9.816258375064344,455.9891913807261,0.042225,-0.021861,-0.01154,52.467,83.087,2.815,21.65,53.849,96.412,5.5728
168,Paroxetine,normal,12.561044170453776,794.8034332567152,0.032892,-0.017478,-0.010113,41.946,72.812,7.795,33.45,77.31,135.288,3.8844
169,Paroxetine,normal,23.13452874193152,848.5060295731175,0.017908,-0.025481,-0.012431,61.155,89.505,NA,14.742,40.165,73.772,2.5228
170,Paroxetine,rapid,15.154107194084018,572.4514841477514,0.027342,-0.025022,-0.012332,60.053,88.789,0.205,15.521,41.705,76.319,3.8238
171,Paroxetine,rapid,17.535528259531766,558.6502501901247,0.02361,-0.02768,-0.012855,66.431,92.56,NA,11.308,33.39,62.581,3.433
172,Paroxetine,poor,17.262319024810658,442.2561949469872,0.023952,-0.031016,-0.013344,74.439,96.074,NA,6.811,24.569,48.044,3.6243
173,Paroxetine,normal,15.342373339446985,938.05376122011,0.026949,-0.017938,-0.010281,43.051,74.026,7.166,31.957,74.337,130.36,3.2271
174,Paroxetine,normal,10.358093922842516,574.7451000984682,0.039976,-0.019278,-0.010747,46.266,77.377,5.498,27.996,66.457,117.3,4.9681
175,Paroxetine,normal,7.959221015040206,637.3773107902009,0.051405,-0.014521,-0.00892,34.85,64.223,12.726,45.196,100.703,174.08,5.461
176,Paroxetine,rapid,39.47825049360306,681.2333723468482,0.010442,-0.036301,-0.013778,87.122,99.202,NA,0.594,12.555,28.367,1.661
177,Paroxetine,normal,20.66893020732119,451.70382792850495,0.019982,-0.033305,-0.013579,79.932,97.768,NA,4.05,19.199,39.224,3.0943
178,Paroxetine,normal,14.89083331144977,438.78814092917054,0.027792,-0.02889,-0.013054,69.337,93.986,NA,9.593,30.017,57.017,4.1038
179,Paroxetine,normal,17.79637982813653,553.6705118726819,0.023261,-0.028049,-0.012919,67.317,93.013,NA,10.773,32.338,60.845,3.3986
180,Paroxetine,normal,6.739087531565085,421.8038115229966,0.061323,-0.017623,-0.010166,42.295,73.198,7.593,32.971,76.356,133.707,7.2742000000000004
181,Paroxetine,rapid,19.45326713634125,546.1367082270868,0.021267,-0.029634,-0.013163,71.122,94.776,NA,8.589,28.048,53.773,3.1685
182,Paroxetine,normal,19.447312561967102,539.1807423004674,0.021272,-0.029825,-0.01319,71.581,94.968,NA,8.337,27.554,52.959,3.1763
183,Paroxetine,normal,20.36117618441357,902.5936273037864,0.020357,-0.022565,-0.011733,54.155,84.475,2.18,20.154,50.881,91.499,2.7252
184,Paroxetine,rapid,19.912880449845485,722.5623506391761,0.020805,-0.025648,-0.012467,61.556,89.759,NA,14.464,39.616,72.865,2.9384
185,Paroxetine,normal,23.5023353783006,592.2132536526199,0.017591,-0.031263,-0.013373,75.031,96.284,NA,6.503,23.969,47.058,2.6687
186,Paroxetine,poor,7.109761863597243,700.837732015866,0.056503,-0.012221,-0.007857,29.331,56.574,18.138,58.106,126.432,216.755,5.3847
187,Paroxetine,poor,4.2420047138486785,579.2959300478171,0.089572,-0.009193,-0.006272,22.062,45.16,29.248,84.619,179.276,304.406,7.0042
188,Paroxetine,normal,20.544001725241248,725.2074789425,0.020163,-0.026078,-0.012555,62.587,90.395,NA,13.764,38.232,70.577,2.8664
